TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 12-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/11/2025 đến ngày 25/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Total
Loading S1,11,11,11,10,,11,10,11,11,10,10,,11,11,11,10,11,11,,10,11,11,11,11,9,,10,11,11,11,277
Loading S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Loading S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,5,,,,,,,,7,,,,,,6,,,,,,,,,,18
Steaming S1,3,3,4,4,,3,4,4,4,4,4,,4,4,3,3,4,4,,4,4,4,3,4,4,,6,4,12,12,116
Steaming S2,4,4,4,4,,4,4,4,4,3,4,,4,3,4,4,4,4,,4,3,3,3,4,3,,4,5,,,91
Steaming S3,,4,4,3,,,4,4,4,4,3,,4,4,4,4,4,4,,4,4,4,4,4,4,,,,,,78
OT,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2
Shelling S1,14,15,16,14,,16,16,20,20,20,17,,21,21,21,22,22,21,,17,18,17,16,17,14,,17,21,21,38,492
Shelling thời vụ S1,,2,2,2,,,,,,,,,,,,,,,,2,1,1,2,2,2,,,,,,16
Shelling S2,16,14,17,15,,19,18,17,18,16,17,,14,14,15,13,15,15,,14,17,17,16,16,10,,18,18,17,19,415
Shelling thời vụ S2,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,12
Shelling S3,18,18,19,19,,14,14,14,13,14,14,,15,16,16,16,15,14,,19,19,19,18,19,17,,16,18,,,394
Shelling thời vụ S3,,,,,,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,,,13
OT,6,2,,5,,,1,,,,1,,10,1,,1,,,,,,,,,,,,,,,27
Maintenance shelling S1,7,7,7,7,,4,3,7,6,7,7,,6,6,6,6,6,6,,5,7,7,7,6,6,,6,6,5,11,164
Maintenance shelling S2,2,2,2,2,,3,3,3,3,3,2,,3,3,3,3,3,2,,2,2,2,2,3,3,,3,3,3,,65
Maintenance shelling S3,3,3,3,3,,2,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,3,3,3,,3,3,,,66
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S1,7,7,7,7,,7,7,7,7,6,6,,7,7,7,6,7,6,,6,6,7,5,7,6,,4,6,6,8,169
Borma thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Borma S2,3,3,3,3,,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,3,,4,4,4,3,98
