"THEO DÕI NĂNG LƯỢNG SỬ DỤNG HẰNG NGÀY (ĐIỆN NĂNG)
TRACKING DAILY ENERGY USED (ELECTRICITY)",,,,,,"Số hiệu tài liệu:
Document code",HSE.V.HS.SOP-21.00.RE-02,,,,,,,,,,,,,,,,,,,
,,,,,,Lần sửa đổi Revision No : ,00,,,,,,,,,,,,,,,,,,,
,,,,,,"Ngày hiệu lực :
Effectivity date",10/08/2022,,,,,,,,,,,,,,,,,,,
,Code,,  PB02010122892 - Main factory ,,,,,,,,,,,,,,,,,,,Ngày,Đơn vị Kwh,,,
Tháng,Thời gian ,Ngày," Bình thường
(Kwh)  "," Cao điểm
(Kwh)  "," Thấp điểm
(Kwh)  ", Tổng , Tổng ,Daily Est,Steaming,Shelling,Borma,MCPeeling,Color,Packing,ECO2,,,,,,,Ngày,Bình thường,Cao điểm,Thấp điểm,Tổng
,6h sáng,1/1/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/1/2024,,,,
,6h sáng,1/2/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/2/2024,,,,
,6h sáng,1/3/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/3/2024,,,,
,6h sáng,1/4/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/4/2024,,,,
,6h sáng,1/5/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/5/2024,,,,
,6h sáng,1/6/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/6/2024,,,,
,6h sáng,1/7/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/7/2024,,,,
,6h sáng,1/8/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/8/2024,,,,
,6h sáng,1/9/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/9/2024,,,,
,6h sáng,1/10/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/10/2024,,,,
,6h sáng,1/11/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/11/2024,,,,
,6h sáng,1/12/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/12/2024,,,,
,6h sáng,1/13/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/13/2024,,,,
,6h sáng,1/14/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/14/2024,,,,
,6h sáng,1/15/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/15/2024,,,,
,6h sáng,1/16/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/16/2024,,,,
,6h sáng,1/17/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/17/2024,,,,
,6h sáng,1/18/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/18/2024,,,,
,6h sáng,1/19/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/19/2024,,,,
,6h sáng,1/20/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/20/2024,,,,
,6h sáng,1/21/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/21/2024,,,,
,6h sáng,1/22/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/22/2024,,,,
,6h sáng,1/23/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/23/2024,,,,
,6h sáng,1/24/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/24/2024,,,,
,6h sáng,1/25/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/25/2024,,,,
,6h sáng,1/26/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/26/2024,,,,
,6h sáng,1/27/2024,,,,  -   ,  -   ,,,,,,,,,,,,,,,1/27/2024,,,,
